question,sql,label
가장 많이 대여된 영화의 제목은?,SELECT f.title FROM film f JOIN inventory i ON f.film_id = i.film_id JOIN rental r ON i.inventory_id = r.inventory_id GROUP BY f.title ORDER BY COUNT(r.rental_id) DESC LIMIT 1;,Bucket Brotherhood
가장 많이 대여된 카테고리는?,SELECT c.name FROM category c JOIN film_category fc ON c.category_id = fc.category_id JOIN film f ON f.film_id = fc.film_id JOIN inventory i ON f.film_id = i.film_id JOIN rental r ON i.inventory_id = r.inventory_id GROUP BY c.name ORDER BY COUNT(r.rental_id) DESC LIMIT 1;,Sports
가장 많이 대여한 고객의 총 대여 횟수는?,SELECT COUNT(*) FROM rental r WHERE r.customer_id = (SELECT customer_id FROM rental GROUP BY customer_id ORDER BY COUNT(*) DESC LIMIT 1);,46
고객의 평균 결제 금액은 얼마인가요?,"SELECT ROUND(AVG(amount), 2) FROM payment;",4.2
얼마나 결제를 해야 전체 유저 중에서 상위 10%에 해당할까?,"SELECT percentile_disc(0.9) WITHIN GROUP (ORDER BY total_amount) AS top_10_percent_threshold FROM (SELECT customer_id, SUM(amount) AS total_amount FROM payment GROUP BY customer_id ) AS customer_totals;;",134.69
결제가 가장 많이 일어난 시간대는?,"SELECT EXTRACT(HOUR FROM payment_date)::int AS hour_of_day, COUNT(*) AS payment_count FROM payment GROUP BY hour_of_day ORDER BY payment_count DESC LIMIT 1;",13
대여가 한 번도 이루어지지 않은 영화는 몇 편인가요?,SELECT COUNT(*) FROM film f WHERE NOT EXISTS (SELECT 1 FROM inventory i JOIN rental r ON i.inventory_id = r.inventory_id WHERE i.film_id = f.film_id);,42
평균 대여료가 가장 높은 카테고리는?,SELECT c.name FROM category c JOIN film_category fc ON c.category_id = fc.category_id JOIN film f ON f.film_id = fc.film_id GROUP BY c.name ORDER BY AVG(f.rental_rate) DESC LIMIT 1;,Games
평균 길이가 가장 짧은 카테고리는?,SELECT c.name FROM category c JOIN film_category fc ON c.category_id = fc.category_id JOIN film f ON f.film_id = fc.film_id GROUP BY c.name ORDER BY AVG(f.length) ASC LIMIT 1;,Sci-Fi
각 카테고리별로 출연한 배우 수를 구하세요,"SELECT c.name, COUNT(DISTINCT fa.actor_id) AS actor_count FROM category c JOIN film_category fc ON c.category_id = fc.category_id JOIN film f ON fc.film_id = f.film_id LEFT JOIN film_actor fa ON f.film_id = fa.film_id GROUP BY c.name ORDER BY actor_count DESC;","Sports,1016
Sci-Fi,1012
Action,991"
각 고객별로 대여한 영화의 총 개수와 총 결제액을 구하세요,"SELECT c.customer_id, c.first_name || ' ' || c.last_name AS customer_name, COUNT(DISTINCT r.rental_id) AS rental_count, ROUND(SUM(p.amount), 2) AS total_paid FROM customer c LEFT JOIN rental r ON c.customer_id = r.customer_id LEFT JOIN payment p ON c.customer_id = p.customer_id GROUP BY c.customer_id, c.first_name, c.last_name ORDER BY total_paid DESC LIMIT 5;","599,SARAH LEWIS,1,0
599,SARAH LEWIS,1,0
599,SARAH LEWIS,1,0
598,WILLIAM SIMMMONS,1,0
597,VICTORIA GIBSON,1,0"
같은 배우가 출연한 영화들 중 가장 대여가 많이 된 영화의 제목은?,"SELECT f.title, COUNT(r.rental_id) AS rental_count FROM film f JOIN film_actor fa ON f.film_id = fa.film_id JOIN actor a ON fa.actor_id = a.actor_id JOIN inventory i ON f.film_id = i.film_id JOIN rental r ON i.inventory_id = r.inventory_id GROUP BY a.actor_id, f.film_id, f.title HAVING COUNT(fa.actor_id) > 0 ORDER BY rental_count DESC LIMIT 1;","BUCKET BROTHERHOOD,34"
주문 금액이 전체 평균 금액 이상인 주문의 개수는?,"SELECT COUNT(*) FROM (SELECT p.payment_id, p.amount, AVG(p.amount) OVER () AS overall_avg FROM payment p WHERE p.amount >= (SELECT AVG(amount) FROM payment)) t;",29
각 점포별로 인벤토리에 가장 많이 있는 영화는?,"SELECT s.store_id, f.title, COUNT(i.inventory_id) AS inventory_count FROM store s JOIN inventory i ON s.store_id = i.store_id JOIN film f ON i.film_id = f.film_id GROUP BY s.store_id, f.film_id, f.title HAVING COUNT(i.inventory_id) = (SELECT MAX(count) FROM (SELECT COUNT(i2.inventory_id) AS count FROM inventory i2 WHERE i2.store_id = s.store_id GROUP BY i2.film_id) t) ORDER BY s.store_id;","1,FIREBALL GAMES,4
2,CURTAIN KILLER,4"
