question,sql,label,infer_sql,infer
‘Comedy’ 카테고리 영화는 몇 편인가요?,SELECT COUNT(*) FROM film f JOIN film_category fc ON f.film_id = fc.film_id JOIN category c ON c.category_id = fc.category_id WHERE c.name = 'Comedy';,58,"SELECT COUNT(DISTINCT f.film_id) AS comedy_film_count
FROM film f
JOIN film_category fc ON f.film_id = fc.film_id
JOIN category c ON fc.category_id = c.category_id
WHERE c.name = 'Comedy';",58
영화가 가장 많은 카테고리는?,SELECT c.name FROM category c JOIN film_category fc ON c.category_id = fc.category_id GROUP BY c.name ORDER BY COUNT(fc.film_id) DESC LIMIT 1;,Sports,"SELECT c.name, COUNT(fc.film_id) AS film_count
FROM category c
JOIN film_category fc ON c.category_id = fc.category_id
GROUP BY c.category_id, c.name
ORDER BY film_count DESC
LIMIT 1;",Sports
대여 횟수가 가장 많은 고객의 이름은?,SELECT first_name || ' ' || last_name FROM customer ORDER BY (SELECT COUNT(*) FROM rental r WHERE r.customer_id = customer.customer_id) DESC LIMIT 1;,ELEANOR HUNT,"SELECT c.first_name, c.last_name
FROM customer c
JOIN rental r ON c.customer_id = r.customer_id
GROUP BY c.customer_id, c.first_name, c.last_name
ORDER BY COUNT(*) DESC
LIMIT 1;",Eleanor
스태프는 몇 명인가요?,SELECT COUNT(*) FROM staff;,2,SELECT COUNT(*) AS staff_count FROM staff;,2
스토어는 몇 개 있나요?,SELECT COUNT(*) FROM store;,2,SELECT COUNT(*) AS store_count FROM store;,2
‘Action’ 카테고리 영화들의 평균 길이는 얼마인가요?,"SELECT ROUND(AVG(f.length), 2) FROM film f JOIN film_category fc ON f.film_id = fc.film_id JOIN category c ON c.category_id = fc.category_id WHERE c.name = 'Action';",111.61,"SELECT AVG(f.length) AS average_length
FROM film f
JOIN film_category fc ON f.film_id = fc.film_id
JOIN category c ON fc.category_id = c.category_id
WHERE c.name = 'Action';",111.6093750000000000
평균보다 긴 영화는 몇 편인가요?,SELECT COUNT(*) FROM film WHERE length > (SELECT AVG(length) FROM film);,507,SELECT COUNT(*) FROM film WHERE length > (SELECT AVG(length) FROM film);,489
가장 많이 대여된 영화의 제목은?,SELECT f.title FROM film f JOIN inventory i ON f.film_id = i.film_id JOIN rental r ON i.inventory_id = r.inventory_id GROUP BY f.title ORDER BY COUNT(r.rental_id) DESC LIMIT 1;,Bucket Brotherhood,"SELECT f.title
FROM film f
JOIN inventory i ON i.film_id = f.film_id
JOIN rental r ON r.inventory_id = i.inventory_id
GROUP BY f.film_id, f.title
HAVING COUNT(*) = (
  SELECT MAX(cnt) FROM (
    SELECT COUNT(*) AS cnt
    FROM film f2
    JOIN inventory i2 ON i2.film_id = f2.film_id
    JOIN rental r2 ON r2.inventory_id = i2.inventory_id
    GROUP BY f2.film_id
  ) s
);",Bucket Brotherhood
가장 많이 대여된 카테고리는?,SELECT c.name FROM category c JOIN film_category fc ON c.category_id = fc.category_id JOIN film f ON f.film_id = fc.film_id JOIN inventory i ON f.film_id = i.film_id JOIN rental r ON i.inventory_id = r.inventory_id GROUP BY c.name ORDER BY COUNT(r.rental_id) DESC LIMIT 1;,Sports,"SELECT c.category_id, c.name, COUNT(r.rental_id) AS rental_count
FROM category c
JOIN film_category fc ON c.category_id = fc.category_id
JOIN inventory i ON fc.film_id = i.film_id
JOIN rental r ON i.inventory_id = r.inventory_id
GROUP BY c.category_id, c.name
ORDER BY rental_count DESC
LIMIT 1;",15
가장 많이 대여한 고객의 총 대여 횟수는?,SELECT COUNT(*) FROM rental r WHERE r.customer_id = (SELECT customer_id FROM rental GROUP BY customer_id ORDER BY COUNT(*) DESC LIMIT 1);,46,"SELECT MAX(rental_count) AS max_rentals
FROM (
  SELECT customer_id, COUNT(*) AS rental_count
  FROM payment
  GROUP BY customer_id
) AS sub;",45
고객의 평균 결제 금액은 얼마인가요?,"SELECT ROUND(AVG(amount), 2) FROM payment;",4.2,SELECT AVG(amount) AS average_payment_amount FROM payment;,4.2006056453822965
얼마나 결제를 해야 전체 유저 중에서 상위 10%에 해당할까?,"SELECT percentile_disc(0.9) WITHIN GROUP (ORDER BY total_amount) AS top_10_percent_threshold FROM (SELECT customer_id, SUM(amount) AS total_amount FROM payment GROUP BY customer_id ) AS customer_totals;;",134.69,"SELECT percentile_cont(0.9) WITHIN GROUP (ORDER BY total_amount) AS top_10_percent_threshold
FROM (
  SELECT c.customer_id, COALESCE(SUM(p.amount), 0) AS total_amount
  FROM customer c
  LEFT JOIN payment p ON c.customer_id = p.customer_id
  GROUP BY c.customer_id
) t;",134.68200000000002
결제가 가장 많이 일어난 시간대는?,"SELECT EXTRACT(HOUR FROM payment_date)::int AS hour_of_day, COUNT(*) AS payment_count FROM payment GROUP BY hour_of_day ORDER BY payment_count DESC LIMIT 1;",13,"SELECT CAST(EXTRACT(HOUR FROM payment_date) AS INTEGER) AS hour, COUNT(*) AS payment_count
FROM payment
GROUP BY CAST(EXTRACT(HOUR FROM payment_date) AS INTEGER)
ORDER BY payment_count DESC
LIMIT 1;",13
대여가 한 번도 이루어지지 않은 영화는 몇 편인가요?,SELECT COUNT(*) FROM film f WHERE NOT EXISTS (SELECT 1 FROM inventory i JOIN rental r ON i.inventory_id = r.inventory_id WHERE i.film_id = f.film_id);,42,"SELECT COUNT(*) AS unrented_films
FROM film f
WHERE NOT EXISTS (
  SELECT 1
  FROM inventory i
  JOIN rental r ON i.inventory_id = r.inventory_id
  WHERE i.film_id = f.film_id
);",42
평균 대여료가 가장 높은 카테고리는?,SELECT c.name FROM category c JOIN film_category fc ON c.category_id = fc.category_id JOIN film f ON f.film_id = fc.film_id GROUP BY c.name ORDER BY AVG(f.rental_rate) DESC LIMIT 1;,Games,"SELECT c.name, AVG(f.rental_rate) AS avg_rental_rate
FROM category c
JOIN film_category fc ON c.category_id = fc.category_id
JOIN film f ON fc.film_id = f.film_id
GROUP BY c.category_id, c.name
ORDER BY avg_rental_rate DESC
LIMIT 1;",Games
평균 길이가 가장 짧은 카테고리는?,SELECT c.name FROM category c JOIN film_category fc ON c.category_id = fc.category_id JOIN film f ON f.film_id = fc.film_id GROUP BY c.name ORDER BY AVG(f.length) ASC LIMIT 1;,Sci-Fi,"SELECT c.category_id, c.name, AVG(f.length) AS avg_length
FROM category c
JOIN film_category fc ON fc.category_id = c.category_id
JOIN film f ON f.film_id = fc.film_id
WHERE f.length IS NOT NULL
GROUP BY c.category_id, c.name
HAVING AVG(f.length) = (
  SELECT MIN(avg_len) FROM (
    SELECT AVG(f2.length) AS avg_len
    FROM category c2
    JOIN film_category fc2 ON fc2.category_id = c2.category_id
    JOIN film f2 ON f2.film_id = fc2.film_id
    WHERE f2.length IS NOT NULL
    GROUP BY c2.category_id
  ) sub
);",14
